Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,Course,2020-11-05 08:41 UTC,N/A,false,N/A,
AI Governance for Organizations: Applying ISO/IEC 38507:2022,"AI offers unprecedented technology capabilities, but how can you use it effectively, efficiently, and responsibly? In this course, instructor Lyron Andrews demonstrates how to use ISO/IEC 38507:2022 standard as a tool to govern the use of AI at your organization. By the end of this course, you’ll be able to define terms related to AI and governance while understanding the implications and accountability related to its use. Additionally, you’ll be prepared to create and apply policies and decision-making principles that support compliance and risks related to AI governance.",Course,2025-10-29 06:18 UTC,N/A,false,N/A,
Arianna Huffington's Thrive 03: Setting Priorities and Letting Go,"Live a life filled with less stress, greater well-being, and enhanced productivity by learning how to make transformational changes. Pursue the next step in your Thrive journey and discover how to go from coping and surviving to actually thriving. In this third course of a six-course series, Arianna Huffington shares how to set priorities.",Course,2021-12-23 12:40 UTC,N/A,false,N/A,
"Spanish, Part 2: Numbers, Questions, and Verbs Estar and Ir","<p>Explore the beauty and diversity of the Spanish language as you learn how to navigate real-life conversations. This course—the second in a seven-part series from The Great Courses—covers the essentials of numbers, questions, and the verbs “estar” and “ir.”  Acquire the Spanish indefinite articles (“a”, “an,” and “some” in English), and observe how indefinite articles are used in Spanish. Learn to count to 100, and practice simple math problems. Finally, complete your work with Spanish consonants, making important distinctions in the pronunciations of b, v, g, d, and x.</p>

<p><b>About the instructor</b><br><br>
Dr. Bill Worden is an associate professor of Spanish at the University of Alabama. He received his Master of Arts in Spanish from Middlebury College and his PhD in Hispanic Studies from Brown University. Since 2002, Dr. Worden has taught a wide variety of courses at the University of Alabama, ranging from Introductory Spanish and Advanced Grammar and Composition to undergraduate and graduate courses in 16th- and 17th-century Spanish literature.</p>

<p>This course was created by The Great Courses. We are pleased to host this training in our library.</p>",Course,2025-10-30 16:24 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:369707,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:369707,Course,2018-07-08 11:14 UTC,N/A,false,N/A,
Learning Pix4D Drone Mapping,"Pix4D is a leader in small unmanned aerial system (sUAS or ""drone"") photogrammetry, building software that enables users to analyze complex image data and create orthomosaics and 3D models, all from photographs. With a drone, a camera, and the powerful processing engine in Pix4D, the science of photogrammetry is accessible to just about anyone. In this course, you can learn the basics of using Pix4D. Instructor Paul Tice explains how Pix4D pairs with different drones and cameras, and then shows how to program simple 2D missions for your drone with Pix4Dcapture. He then shows how to prepare for flight and retrieve the data and imagery once your drone has landed. In the last few chapters, Paul dives into Pix4D Desktop, where he shows how to process your data and produce outputs such as point clouds, 3D maps, and models. Plus, learn how to deal with large projects and turn the power of Pix4D onto architecture, engineering, and construction (AEC) data, such as 3D building scans.",Course,2021-12-31 08:13 UTC,N/A,true,N/A,
Excel 2016: Pivot Tables in Depth,"Learn how to use PivotTables to summarize, sort, count, and chart your data in Microsoft Excel 2016. Author Curt Frye shows you how to navigate the complexity of PivotTables while taking advantage of their power. This course shows how to build PivotTables from single or multiple data sources, add calculated fields, filter your results, and format your layout to make it more readable. Plus, learn how to create PivotCharts to visualize your data, enhance PivotTables with macros, and use the Data Model feature to build PivotTables from related tables.",Course,2019-06-21 07:30 UTC,N/A,false,N/A,
Arianna Huffington's Thrive 05: Igniting Joy through Presence and Wonder,"Live a life filled with less stress, greater well-being, and enhanced productivity by learning how to make transformational changes. Progress further in your Thrive journey and discover how to go from coping and surviving to actually thriving. In this fifth course of a six-course series, Arianna Huffington discusses how to ignite joy.",Course,2020-03-31 16:03 UTC,N/A,false,N/A,
Learning Excel 2010,"Excel is the industry-standard spreadsheet program, and almost all of us find ourselves using it at one point or another. In this workshop veteran author Chris Grover teaches you the fundamental skills you need to work with Excel, starting with basics like entering and formatting numbers and text, then moving on to writing formulas and using Excel's built-in functions. Learn about sorting, filtering, and lookup, as well as charts, graphs and sparklines, and even advanced tools like pivot tables. Along the way, Chris covers the new features in Excel 2010 and techniques for troubleshooting your spreadsheet when something goes wrong.",Course,2020-04-06 07:28 UTC,N/A,false,N/A,
Web Servers and APIs using C++,"C++ has re-emerged as a go-to language for developing high-performance websites and web applications. C++ compiles to machine code, making it faster to start up and execute. For users, this means less time waiting for a site to render. This course teaches developers how to build a website powered by a MongoDB database and deploy it with a Heroku cloud server, all with C++. Instructor Troy Miles—a senior software developer—shows how to build and deliver HTML webpages; upload, download, and parse JSON data; make RESTful API calls; and even do real-time communication using WebSockets. Along the way, he shows how to resolve one of the main challenges of C++ web development—a complex toolchain that must be synced in development and production—using Docker containers.",Course,2019-02-20 09:07 UTC,N/A,false,N/A,
Designing the Learner's Journey,"Finding ways to engage learners on their individual learning journeys can be a bit like a “choose your own adventure” model of learning. If you’re not sure how to approach this model, you’re in luck! Expert instructional designer Michael Allen explores how you can use every learner’s time productively. Michael shows you how to focus your time and energy on what matters most, by focusing on content, experience, and the learner, and by demonstrating competency, confidence, and a joyful performance. He explains ways that self-efficacy, fear, stress, and disinterest can be learning blocks and how you can help learners overcome these learning blocks. Michael walks you through a powerful learner-centric instructional design method, then addresses characteristics that influence learning. Attitudes make a big difference in learning and performance, and this course can help you to design the learner’s journey in ways that help each learner to thrive.",Course,N/A,N/A,true,N/A,
Excel 2013 Essential Training,"Whether you're a novice or an expert wanting to refresh your skillset with Microsoft Excel, this course covers all the basics you need to start entering your data and building organized workbooks. Author Dennis Taylor teaches you how to enter and organize data, perform calculations with simple functions, work with multiple worksheets, format the appearance of your data, and build charts and PivotTables. Other lessons cover the powerful IF, VLOOKUP, and COUNTIF family of functions; the Goal Seek, Solver, and other data analysis tools; and how to automate many of these tasks with macros.",Course,2020-05-04 07:12 UTC,N/A,false,N/A,
Personal Finance Nano Tips with Brittney Castro,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. Are you looking to learn the finance skills they didn't teach you in high school, but that every adult needs to know? Join financial planner Brittney Castro as she provides some quick tips that can help you with basic finance issues like cutting out unnecessary expenses and making a budget, to topics like sorting capital gains and investing in crypto currencies.",Course,2022-09-27 13:05 UTC,N/A,false,N/A,
Machine Learning Foundations: Calculus,"Studying artificial intelligence and machine learning can be difficult enough, but what if you threw some calculus into the mix? It may sound daunting, but understanding the foundations of calculus can help you design and implement machine learning algorithms, and without a solid foundation in calculus, your work in machine learning can quickly become overwhelming. In this course, Terezija Semenski teaches you functions, derivatives, integrals, and the foundations of multivariate calculus. If you struggle with calculus concepts and techniques used to design and implement ML algorithms, this course with Terezija can give you the knowledge to overcome those challenges.",Course,2024-10-03 05:59 UTC,N/A,false,N/A,
Learning Selenium,"Selenium is one of the most popular tools for testing web-based applications. It allows QA engineers to write and automate tests across many different browsers and operating systems, without a special scripting language. This course introduces Selenium to new users, covering installation and basic use cases. Find out how to set up the test-writing framework, WebDriver, and Selenium Grid, which allows you to distribute the testing load and run tests against a remote server. Learn best practices to write effective tests using variables and functions, and to organize tests into suites that can scale over time. Instructor Meaghan Lewis—a QA engineer at GitHub—also explains the test pyramid paradigm, which details an ideal way to balance unit, integration, and UI testing.",Course,2020-02-26 07:47 UTC,N/A,false,N/A,
Designing Scenario-Based Learning,"If you’ve ever completed an online training for your current or past job, then you already know that the standard training module can be extremely boring for learners. Scenario-based instruction, by contrast, offers quite the compelling alternative. Not only is it more realistic, it’s also much more effective and engaging in practice. In this course, instructor Karl Kapp shows you how to design scenario-based learning modules to improve overall learning outcomes at your organization.<br><br>Explore strategies for building a roadmap to enhance the experience of your workplace training. Learn about the essentials of scenario-based learning, what it entails, why it is effective, and how to design your own modules. Get tips from Karl as he walks you through the process of conceptualizing scenarios, designing decision points and branches, and crafting the correct feedback to build more appealing, successful learning opportunities for your employees.",Course,N/A,N/A,true,N/A,
Mastering Microservices with Java,"Microservices break monolithic applications into smaller, independent components that can be developed, tested, and deployed more quickly and efficiently. Get an overview of microservices development for Java production environments, in this course with Sourabh Sharma. Learn the principles of domain-driven design, and then discover how to write the code for a sample services, including services based on the entity and repository patterns. Next, learn how to design for security, and implement a registration and discovery service. The course closes with best practices for testing and troubleshooting Java microservices.<br><br>

Note: To get the best results from this course, you should be familiar with the Spring Framework.<br><br>

This course was created and produced by Packt Publishing. We are honored to host this training in our library.",Course,2018-08-25 08:04 UTC,N/A,false,N/A,
Python Code Challenges ,"Want to test your Python skills? These concise challenges let you stretch your brain and test your talents. Instructor Barron Stone shares over a dozen Python challenges, as well as his own solutions to each problem—the majority of which are less than two dozen lines of code. You can tackle each problem using the tools in the Python standard library, or opt for the library of your choice. And since each challenge is self-contained, you can complete the course in any order—and at your own pace. Tune in to get the hands-on practice you need to keep your skills sharp.",Course,2020-12-09 15:44 UTC,N/A,false,N/A,
Writing a Tech Resume,"When you apply for technology jobs, your resume is your opportunity to stand out from the crowd. Emma Bostian shows you how to showcase your technology skills, framing them to impress recruiters and potential employers. Discover how to tailor the content and length to catch a hiring manager’s eye. Learn how to leverage minor design details like spacing, font choice, and color palette to differentiate your resume from the rest, without stepping too far out. Plus, learn how to create a professional online presence on the platforms tech recruiters use most: LinkedIn and GitHub.",Course,2021-07-09 08:20 UTC,N/A,false,N/A,
Elasticsearch Essential Training (2017),"<p>Elasticsearch has been widely adopted in search engine platforms for modern web and mobile applications. Combined with the power of Kibana—which can help to provide analytical solutions on top of your Elasticsearch cluster—this powerful platform adds the capability to answer complex business questions about your data and your customers, as well as serve up relevant results in your applications. Beyond just search, the Elastic Stack provides companies with complex analytics and advanced features like machine learning. Companies large and small use Elasticsearch to identify potential fraud, machines that aren't operating properly, and what users are doing in their apps.</p><p>In this course, join Ben Sullins as he dives into the inner workings of Elasticsearch combined with Kibana. Ben provides an overview of the architecture, and then goes over the different deployment methods, and how to best structure your data. From there, he demonstrates how to query data, and how to work with Kibana to present your insights.</p>",Course,N/A,N/A,true,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2019-07-10 06:49 UTC,N/A,false,N/A,
Python for Security,"Python is a great language for learning, writing web applications, and manipulating data. However, Python can be used for security testing, as well. This course from ITProTV explores the use of Python in such concepts as brute force password cracking, making SSH connections programmatically, creating socket connections and port scanner a particular host, banner grabbing from open ports, and more. You can even put many of the projects that you build during the course together into a forwarding packet sniffer!
<br><br>
Note: This course was created by ITProTV. We are pleased to host this training in our library.",Course,2023-01-03 14:43 UTC,N/A,false,N/A,
Learning Kubernetes (2018),"Kubernetes is the world's most popular open-source container orchestration engine. It offers the ability to schedule and manage containers—Docker or otherwise—at scale. This course introduces developers, DevOps engineers, and IT pros to Kubernetes. First, learn how to get a Kubernetes environment up and running on Mac or Windows using Minikube, and understand the components for Kubernetes. Next, deploy a sample Kubernetes application and manage it with the Kubernetes dashboard. Instructor Karthik Gaekwad also shows how to deploy a more complicated application with a database and APIs. Then learn how to run jobs and cron jobs. Finally, explore more advanced topics, including production deployments, namespaces, monitoring and logging, and authentication and authorization.",Course,2021-04-21 06:35 UTC,N/A,false,N/A,
Raspberry Pi Essential Training (2022),"In this introductory class to the Raspberry Pi, technologist Mark Niemann-Ross explains the vocabulary associated with this single-board computer, then shows you how to plug in peripherals and perform basic computing tasks. Mark first describes how the Raspberry Pi compares to other computers and how it can be used as a media server, musical instrument, robotics controller, and more. He covers the members of the Raspberry Pi family and how to select the one that is right for you and the accessories that you need to use it effectively. Mark walks you through connecting your Raspberry Pi to wi-fi and ethernet, as well as getting it started. After examining operating systems for Raspberry Pi, he goes into why a virtual networking computer (VNC) for Raspberry Pi can be very helpful and how you can enable and use one. Mark discusses sound on your Raspberry Pi and how to use and control the GPIO board. After going over Raspberry Pi hardware, he dives into the Raspberry Pico microcontroller, then finishes up with how to run the Raspberry Pi OS on other computers.
<br><br>
Note: This course was created by Mark Niemann-Ross. We are pleased to host this training in our library.",Course,2022-11-08 07:02 UTC,N/A,true,N/A,
Improving the Value of Your Time,"Join productive leadership author and speaker Dave Crenshaw as he shows you the key to enhancing your productivity—focusing on your most valuable activities and minimizing the distractions that waste your time. This course shows you how to determine how to increase your worth per hour while minimizing and offloading distractions. Create a plan to mind your time and effort and help coworkers and employees discover their most valuable activities, which can result in a career and productivity boost.",Course,2022-01-12 18:38 UTC,N/A,false,N/A,
Learning Penetration Testing (2016),"You've done everything you can to logically secure your systems, along with layering in user education and providing physical security. However, the only way to <em>know</em> if your defenses will hold is to test them. This course looks at one of the most important skills of any IT security professional: penetration testing. Penetration testing is the process to check if a computer, system, network, or web application has any vulnerabilities. Cybersecurity expert Lisa Bock reviews the steps involved in performing a worthwhile penetration test, including auditing systems, listing and prioritizing vulnerabilities, and mapping out attack points a hacker might target. She also defines the various types of ""pen"" tests—such as black, grey, and white box; announced vs. unannounced; and automated vs. manual testing—and the techniques and blueprints a pen tester should use to test everything from Wi-Fi to VoIP. Finally, she discusses how to choose and work with an outsourced pen-testing organization, which can bring a valuable outsider's perspective to your IT security efforts.",Course,2021-03-10 07:48 UTC,N/A,true,N/A,
Demystifying Advanced and Complex Security Topics,"<p>Have you ever wanted to know more about the complex world of cybersecurity, but weren’t sure where or how to begin? This course is designed to help you unravel the intricacies of some of the most important and most challenging topics in today’s cybersecurity landscape, particularly if you already have a basic understanding of the field and are looking to learn more about advanced concepts and practices.</p><p>Join industry-leading expert and CISO Jerich Beason as he covers a wide variety of topics, including advanced threat detection, complex network security architectures, cutting-edge cybersecurity technologies, and the latest trends in cyberdefense strategies. By the end of this course, you’ll be prepared to identify, think about, explain, and address complex cybersecurity challenges using industry-leading protocols and practices.</p>",Course,2024-12-09 13:37 UTC,N/A,false,N/A,
Project Management Foundations [2016],"Project management is a start-to-finish approach to getting things done and making projects more successful. It's a profession, but it's also a set of techniques that anyone can apply to achieve goals and manage project work more effectively. Project management can be used to guide small, simple projects as well as complex enterprise-wide initiatives.<br><br>Bonnie Biafore has always been fascinated by how things work and how to make things work better. In this course, she explains the fundamentals of project management, from defining the problem, establishing project goals and objectives, and building a project plan to managing team resources, meeting deadlines, and closing the project. Along the way, she provides tips for reporting on project performance, keeping a project on track, and gaining customer acceptance.",Course,2020-01-03 08:34 UTC,N/A,false,N/A,
Digital Strategy,"Digital disruption is changing every business. Only a decade ago, the auto industry was well-defined by players such as GM, Ford, and Toyota. Today, these companies compete with newcomers such as Uber and Lyft, which sell transportation services—not cars. Similar dynamics are playing out in retail, banking, education, and even construction. This course examines how digitization reshapes the opportunities and threats facing companies—and how you can harness the power of digitization to win. Join Anil Gupta and Haiyan Wang to learn how to develop your own digital strategy. Discover how to harness artificial intelligence, use new platforms to beat the competition, and digitize products, services, and other elements of the value chain: design, development, sourcing, production, and distribution.",Course,2022-01-08 09:43 UTC,N/A,false,N/A,
Apple Watch Tips and Tricks (2019),"Apple Watch has evolved. The latest watchOS makes it even more convenient to manage messages, activities, and notification directly from your device. But even if you wear one daily, you might not be using all of its most helpful features. Get the most out of your Apple Watch with these practical tips and tricks. Garrick Chow explores the features and capabilities of the latest Apple watchOS, including messaging, app management, voice control with Siri, staying fit and safe, and other valuable pointers. He also shows how to customize your unlock settings and haptic strength, so the Apple Watch responds perfectly to your touch.",Course,2020-12-21 10:43 UTC,N/A,false,N/A,
What You Need to Know to Get Started with Your Training Program,"Team training is hard. Training on a mass scale is even harder. With so many different moving parts—from creating content, to getting executive buy-in, to motivating your team to engage with the training—launching a training program can feel overwhelming. This course can help. Join instructor David Brownlee as he walks you through each step in the process, sharing the essential information you need to build a successful training program. David covers how to create effective goals for your program. He discusses the importance of managing expectations and goes over how to design and execute a successful learning program. Next, David explains how to track the results of your learning program and communicate program results; implement improvements to your learning program based on feedback; use analytics and identify which metrics will be right for you to track; and more. Along the way, David recommends various courses you can take to learn more about the topics covered in this course.",Course,N/A,N/A,true,N/A,
Learning Java Lambda Expressions,"A lambda expression is a clear and concise way to represent a one method interface.  Lambda expressions can be used as method arguments or to iterate, filter, and extract data from a collection. This course explores Oracle's Java 8 specification for lambda expressions, and the syntax and use cases for using lambdas with collections, streams, and maps. Staff instructor and Java expert Peggy Fisher also introduces techniques for programming functional interfaces in Java.",Course,2019-02-19 11:48 UTC,N/A,false,N/A,
Agile Software Development: Dealing with Legacy Code and Technical Debt,"In nearly every organization, developers are forced to grapple with old code that gets in the way of writing new features. Is legacy code limiting your development team's agility? If so, let this course be your guide for how to embrace a legacy system and improve it while paying down technical debt. Instructor Scott Ford explains how to review legacy code and fence in the technical debt by creating and running a test suite. He also demonstrates how to introduce dependency management and update dependences and tools, how to remove noise and distractions from your code, and how to keep technical debt at bay by remaining test driven and monitoring code quality.",Course,2021-01-16 14:26 UTC,N/A,false,N/A,
"Learning Full-Stack JavaScript Development: MongoDB, Node, and React (2016)","Learn by doing! Learn full-stack JavaScript development by building a web application with MongoDB, Node.js, and React.js.<br><br>

Learn how to use Node as a web server and an API server, how to consume data and build user interfaces with React, and how to read and write data with a MongoDB database. React allows you to build full-featured, data-driven applications faster and more efficiently than what is possible with JavaScript alone.<br><br>

Samer Buna introduces modern JavaScript programming concepts, with an emphasis on functional methods and open-source tools. The lessons are almost completely hands-on, with live coding demonstrations that bring the concepts home.",Course,N/A,N/A,true,N/A,
Learning Python (2021),"<p>Python—the popular and highly-readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/anaconda-python-for-data-science-professional-certificate"" target=""_blank"">Professional Certificate</a> from Anaconda.</p>",Course,2023-03-23 12:55 UTC,N/A,false,N/A,
Java: Data Structures (2017),"Data structures provide a means to store and manage large amounts of data efficiently.  
Along with storing data, these structures support operations for accessing and manipulating the data they contain. Choosing the right data structure for a task is key to developing top-notch software.<br><br>
In this course, explore data structures in the Java language. Follow Peggy Fisher as she introduces you to several types of commonly-used data structures in Java. Peggy explores ArrayLists and LinkedLists, both of which implement the List interface, which extends the Collection interface and allows you to access list elements in a specific order. She also goes into the Vector, Stack, and Queue collection classes. To help you better understand these new concepts, Peggy wraps up the course with a challenge—creating a grocery list—and provides a solution for that challenge.",Course,2020-03-27 16:22 UTC,N/A,false,N/A,
"Spanish, Part 1: Basic Elements and Simple Sentences","<p>Explore the beauty and diversity of the Spanish language as you learn how to navigate real-life conversations. This course—the first in a seven-part series from The Great Courses—covers the essentials of using basic elements and simple sentences in Spanish. Begin by looking at both the “whats” of Spanish (elements such as grammar and vocabulary), before turning to the “hows”—how to study, practice, and learn the language most effectively. Get started identifying cognates (Spanish words that are similar to their English equivalents), hearing the five Spanish vowel sounds, and practicing basic greetings, responses, and goodbyes.</p>

<p><b>About the instructor</b><br><br>
Dr. Bill Worden is an associate professor of Spanish at the University of Alabama. He received his Master of Arts in Spanish from Middlebury College and his PhD in Hispanic Studies from Brown University. Since 2002, Dr. Worden has taught a wide variety of courses at the University of Alabama, ranging from Introductory Spanish and Advanced Grammar and Composition to undergraduate and graduate courses in 16th- and 17th-century Spanish literature.</p>

<p>This course was created by The Great Courses. We are pleased to host this training in our library.</p>",Course,2025-10-28 06:05 UTC,N/A,false,N/A,
Hands-On Data Annotation: Applied Machine Learning,"Are you curious how data powers machine learning and data science? In this course, Wuraola Oyewusi dives into the intricacies of data annotation for machine learning and shows how data is prepared and used for training of machine learning models. Wuraola starts with a big-picture look at the principles, types, and importance of data annotation in machine learning pipelines. She then dives into hands-on use cases for data annotation in natural language processing, computer vision, and general data science using different tools. Other topics include using both open-source and proprietary tools such for data notation, as well as labeling data on major cloud platforms like AWS, Azure, and GCP.",Course,2025-01-06 05:49 UTC,N/A,false,N/A,
Apple Watch Tips and Tricks (2015),"Get the most from your smartwatch with these expert Apple Watch tips and tricks. This course shows viewers how to customize Glances, set haptic strength, customize and clear notifications, quickly silence the Apple Watch, arrange apps and quickly switch between them, and use Siri effectively. It also discusses how to use the fitness apps, play and manage music, use Passbook and Apple Pay, and send and receive calls, texts, and emails. And viewers will love the handy miscellaneous tips, like how to preserve battery life and use the Apple Watch to find your iPhone.",Course,2019-06-11 12:05 UTC,N/A,false,N/A,
Processing: Interactive Data Visualization,"Start communicating ideas and diagramming data in a more interactive way. In this course, author Barton Poulson shows how to read, map, and illustrate data with Processing, an open-source drawing and development environment. On top of a solid introduction to Processing itself, this course investigates methods for obtaining and preparing data, designing for data visualization, and building an interactive experience out of a design. When your visualization is complete, explore the options for sharing your work, whether uploading it to specialized websites, embedding the visualizations in your own web pages, or even creating a desktop or Android app for your work.",Course,2019-01-06 12:02 UTC,N/A,false,N/A,
Figma for UX Design (2021),"Do you use Figma for review and collaboration, use it for interaction design, or just need a quick introduction to this tool? In this course, instructor Eric Nordquist steps through creating projects in Figma, then shows you how to use prototyping, collaborate with other designers, and export your files. Eric begins by introducing you to Figma, explaining the differences between the online and desktop versions, as well as how to design a file. Then he covers all the main steps in creating a project, such as creating the hero section, applying Auto Layout, using masks, and more. Eric explains prototyping and how to use interactions and Smart Animate. After going over how to use Figma to work with other designers, he finishes up with useful tips on how to export your files.",Course,2023-02-23 07:22 UTC,N/A,false,N/A,
Python Quick Start (2019),"Get a fast-paced introduction to Python. In this course, you can learn what Python is and why it's become such a powerful and in-demand programming language. Python expert and trainer Lavanya Vijayan shares the fundamentals of programming in Python with data types, variables, functions, sequences, conditional statements, iteration, and recursion. The course concludes with a short introduction to object-oriented programming in Python. Learning a new programming language shouldn't be hard; with this course, you can learn the basics you need to become proficient in Python, and decide if it’s the right language for your projects.<br><br>

This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2022-02-04 06:52 UTC,N/A,false,N/A,
Coaching for Results,"Coaching—like managing—isn't an intuitive skill. It's also not a one-type-fits-all solution. To be effective, managers and leaders need to learn a variety of coaching techniques so that they can cater to the specific needs of individual employees. Executive coach Lisa Gates helps managers and leaders who are struggling with coaching learn the three basic types—coaching to improve performance, develop careers, and encourage high performers—and apply different techniques to get results. She also helps you avoid some of the common coaching traps and develop a coaching habit. The scenarios included with the course help you understand how the lessons play out in the workplace, whether you're coaching to improve customer service, helping an employee make challenging career choices, or navigating conflict in a difficult situation.",Course,2020-05-19 06:57 UTC,N/A,false,N/A,
Excel: Introduction to Formulas and Functions (2023),"<p>To unlock the power of Excel, you need to use formulas and functions. These calculation tools help you bring information to the surface and make better decisions. <i>Excel: Introduction to Formulas and Functions</i> shows beginner-level users how to summarize and analyze data with these powerful data analysis features. Instructor Curt Frye shows how to create formulas with mathematical operations such as addition, subtraction, multiplication, and division, and how to use cell references in your formulas. He explains how to summarize data with functions like SUM and AVERAGE, and work with data in named ranges and Excel tables. Curt also covers procedures to ensure data integrity, such as data validation, and demonstrates auditing techniques to ensure formulas are correct.</p><p>Note: This course was recorded on Excel for Microsoft 365. Most of the course contents will also be useful to those working with the most recent standalone versions of Office, including Office 2021.</p>",Course,2025-01-04 08:29 UTC,N/A,false,N/A,
Effective Listening,"<p>Listening is a critical competency, whether you are interviewing for your first job or leading a Fortune 500 company. Surprisingly, relatively few working professionals have ever had any formal training in how to listen effectively. In this course, communications experts Tatiana Kolovou and Brenda Bailey-Hughes show how to assess your current listening skills, understand the challenges to effective listening (such as distractions!), and develop behaviors that will allow you to become a better listener—and a better colleague, mentor, and friend. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/essential-business-communication-skills-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2022-03-08 07:25 UTC,N/A,false,N/A,
Computer and Text Neck Stretching Exercises,"Our necks bear the brunt of the stress when we spend too much time looking at screens. Taking a break is the best solution, but sometimes we can’t afford to go offline. Luckily, with simple corrections to your posture and typing habits, you can eliminate injury to this sensitive area. Join Dr. Baxter Bell for this series of exercises that can help relieve and prevent neck pain. Discover the proper way to stretch your back and neck, lengthen your neck muscles and upper spin, deepen your breath, and get the blood flowing through your body. Plus, learn a simple exercise that will benefit your neck and your wrists.<br><br>

Note: This course was created and produced by <a href=”https://www.desk-yogi.com” target=”_blank”>Desk Yogi</a>.",Course,2020-10-22 11:51 UTC,N/A,false,N/A,
Marketing to Humans,"Marketing can involve a lot of technology. But at the end of the day, it's people that actually use our products and services. So why do some campaigns feel so unfriendly and uninspired? Marketers need to remember that we are marketing to <i>humans</i>.<br><br> 

Join Stefan Mumaw for this delightful journey into the world of marketing and the psyche of the people we serve. He helps you understand why the most famous and beloved campaigns resonate so much with audiences, and the roles empathy, sensation, and story play in their success. These videos will make you question the role of traditional sales-driven marketing, and think about the customer relationship in a whole new light.",Course,2020-12-02 07:42 UTC,N/A,false,N/A,
Compassionate Directness,"In any organization, communicating with directness is vital to success. But to build a truly healthy culture, directness must go hand-in-hand with compassion. When you combine these qualities, the result is truly powerful, creating a culture of increased clarity and productivity that also values and respects people's essential humanity. In this course, Arianna Huffington and Joey Hubbard discuss the art of effective, compassionate communication, giving you tools and strategies to be a more honest, kind, and director communicator.",Course,2019-03-15 08:51 UTC,N/A,false,N/A,
Python: Design Patterns,"<p>Explore the world of Python design patterns and learn how to implement them to save time. Instructor Jungwoo Ryoo introduces 15 essential creational, structural, and behavioral patterns to help you solve common coding challenges, while introducing best practices that will keep your solutions consistent, complete, and correct. Learn how to use these patterns to structure your code more efficiently and effectively. Discover the power of reusable solutions shared by the programming community and enhance your Python coding skills. Learn through practical examples and challenge yourself with code challenges. By the end of this course, you'll be able to leverage design patterns to streamline your projects and solve common programming problems with ease. Whether you are a professional developer, a computer science student, or a coding enthusiast, mastering these patterns will significantly benefit your programming and problem-solving abilities. </p>

<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2025-03-12 07:23 UTC,N/A,false,N/A,
"Business Analytics Foundations: Descriptive, Exploratory, and Explanatory Analytics","<p>Business analytics allows us to learn from the past and make better predictions for the future. There are three types of analytics used for learning from the past. <em>Descriptive</em> analytics summarizes historical data; <em>exploratory</em> analytics uncovers hidden patterns; and <em>explanatory</em> analytics reveals the reasons for business results. Each type encompasses a different set of tools, technologies, processes, and best practices to derive insights from data. This course by Kumaran Ponnambalam explains why they matter and how and when to use them.</p><p>

He starts by setting the context for business analytics and its various stages. Then, explore the stages that focus on the past: descriptive, exploratory, and explanatory. Learn about the processes, techniques, and best practices used in the field, and see a use case that demonstrates how analysis is performed at each stage. Finally, learn about some emerging trends in business analytics like generative AI, augmented analytics, and advanced visualizations.",Course,2025-05-08 06:18 UTC,N/A,false,N/A,
